Waktu(s),Raw_L,Raw_R,Clean_L,Clean_R,Kecepatan_Angular_rad_s
0.049961090087890625,0,0,0,0,0.0
0.051508188247680664,0,0,0,0,0.0
0.15129446983337402,0,0,0,0,0.0
0.15280842781066895,0,0,0,0,0.0
0.25208163261413574,0,0,0,0,0.0
0.25357770919799805,0,0,0,0,0.0
0.35358476638793945,0,0,0,0,0.0
0.3550713062286377,0,0,0,0,0.0
0.45677947998046875,0,1,0,1,0.0
0.45827341079711914,0,1,0,1,0.0
0.5586733818054199,0,1,0,1,0.19201423199390355
0.5601789951324463,0,1,0,1,0.19202989178446886
0.6592738628387451,0,1,0,1,0.19229126485248427
0.6607828140258789,0,1,0,1,0.19229316014885955
0.7617311477661133,0,2,0,2,0.38332225223788086
0.763378381729126,0,2,0,2,0.38320859607746305
0.863201379776001,0,3,0,3,0.5750205003164932
0.8649194240570068,-1,3,-1,3,0.7663458711277005
0.96421217918396,-1,5,-1,5,0.9624921704230601
0.9659013748168945,-2,5,-2,5,1.1545463243572778
1.066657304763794,-2,6,-2,6,1.3460268506490307
1.0683486461639404,-3,6,-3,6,1.5377541701158572
1.1694772243499756,-3,8,-3,8,1.9145307022413631
1.1709926128387451,-5,8,-5,8,2.2974078559983178
1.2705199718475342,-5,11,-5,11,2.687794887139969
1.2724308967590332,-7,11,-7,11,3.0701744001955866
1.3729145526885986,-7,13,-7,13,3.2578322245651328
1.374466896057129,-9,13,-9,13,3.4505911551251476
1.4736404418945312,-9,16,-9,16,3.6431429817517413
1.4751875400543213,-11,16,-11,16,3.835957332729117
1.5753462314605713,-11,19,-11,19,4.224507134359082
1.5768835544586182,-13,19,-13,19,4.417867806821539
1.6781859397888184,-13,22,-13,22,4.608373965005983
1.6795780658721924,-16,22,-16,22,4.801552984724085
1.7794158458709717,-16,25,-16,25,4.798624089232708
1.7808914184570312,-18,25,-18,25,4.802732750705934
1.881606101989746,-18,29,-18,29,5.184595662387685
1.8830366134643555,-21,29,-21,29,5.377905735213043
1.9827632904052734,-21,32,-21,32,5.372062966728731
1.9842534065246582,-24,32,-24,32,5.56454515334326
2.084275722503662,-24,36,-24,36,5.757968542938858
2.0857996940612793,-26,36,-26,36,5.758119603532175
2.186807632446289,-26,39,-26,39,5.761453045168222
2.188286781311035,-29,39,-29,39,5.760467456257479
2.286958932876587,-29,43,-29,43,5.966153569079149
2.2884840965270996,-32,43,-32,43,6.158008448594128
2.3897006511688232,-32,46,-32,46,5.959678183701117
2.391063690185547,-34,46,-34,46,5.768196488488001
2.491549015045166,-34,50,-34,50,5.951582077392617
2.4930202960968018,-37,50,-37,50,5.951802411014831
2.5921003818511963,-37,53,-37,53,5.770495674166456
2.5936026573181152,-40,53,-40,53,5.963100295002535
2.6951980590820312,-40,56,-40,56,5.956209718657028
2.6967530250549316,-42,56,-42,56,5.763214443545204
2.7960195541381836,-42,60,-42,60,5.7564853331959505
2.7976982593536377,-45,60,-45,60,5.754749600313513
2.898608446121216,-45,63,-45,63,5.75821402042807
2.900094747543335,-48,63,-48,63,5.948713651614427
2.9998667240142822,-48,67,-48,67,5.957061787481374
3.0015063285827637,-50,67,-50,67,5.762990156629133
3.1028316020965576,-50,70,-50,70,5.737655901654497
3.1044280529022217,-53,70,-53,70,5.7365981122555905
3.203991174697876,-53,74,-53,74,5.951495621820282
3.2057204246520996,-56,74,-56,74,6.141375660747511
3.306922674179077,-56,77,-56,77,5.926916241493353
3.308868885040283,-58,77,-58,77,5.7327237770434305
3.4078123569488525,-58,80,-58,80,5.754865462908685
3.4093635082244873,-61,80,-61,80,5.754132643205052
3.5084643363952637,-61,84,-61,84,5.761725829347562
3.5099189281463623,-64,84,-64,84,5.9559499559987
3.6113569736480713,-64,87,-64,87,5.9546291481215805
3.6130781173706055,-66,87,-66,87,5.761131679129367
3.7121145725250244,-66,91,-66,91,5.767103055145776
3.713564157485962,-69,91,-69,91,5.770278947123802
3.8144583702087402,-69,95,-69,95,5.966240451042134
3.8155975341796875,-72,95,-72,95,6.168508540633319
3.9161410331726074,-72,98,-72,98,6.149092400650069
3.9180219173431396,-74,98,-74,98,5.953071738746493
4.017838478088379,-74,102,-74,102,5.944706949463367
4.019904375076294,-77,102,-77,102,5.937581196147421
4.119234800338745,-77,105,-77,105,5.9622213076931025
4.120729207992554,-80,105,-80,105,6.157299881244181
4.220990896224976,-80,109,-80,109,6.142474810525952
4.2224578857421875,-82,109,-82,109,5.950318960259176
4.322911977767944,-82,112,-82,112,5.763357672034584
4.324855089187622,-85,112,-85,112,5.7542592568005055
4.42474102973938,-85,116,-85,116,5.9537554471895335
4.42629337310791,-88,116,-88,116,6.1497846565017635
4.526897668838501,-88,119,-88,119,5.948384893194808
4.528460741043091,-90,119,-90,119,5.762193133555864
4.628021240234375,-90,123,-90,123,5.951573710614549
4.629675388336182,-93,123,-93,123,5.94970571928748
4.7299511432647705,-93,126,-93,126,5.757620594228602
4.731722831726074,-96,126,-96,126,5.94598160324942
4.831009149551392,-96,130,-96,130,6.151894113144581
4.832536935806274,-98,130,-98,130,5.964522899859677
4.9328131675720215,-98,133,-98,133,5.76768490494409
4.934220552444458,-101,133,-101,133,5.769330957692943
5.035578489303589,-101,136,-101,136,5.760783348034883
5.036983489990234,-104,136,-104,136,5.954659857930451
5.1365320682525635,-104,140,-104,140,5.954799451963079
5.137905836105347,-107,140,-107,140,5.958084591923808
5.238935470581055,-107,143,-107,143,5.949259805240218
5.240434646606445,-109,143,-109,143,5.760432359309592
5.339548587799072,-109,146,-109,146,5.570305441326152
5.340955495834351,-112,146,-112,146,5.763754965668791
5.441701650619507,-112,149,-112,149,5.758432539976659
5.443099021911621,-114,149,-114,149,5.5665943245075535
