Waktu(s),Raw_L,Raw_R,Clean_L,Clean_R,Kecepatan_Angular_rad_s
0.08545637130737305,-388,514,0,0,0.0
0.08688139915466309,-389,514,-1,0,0.0
0.1869373321533203,-389,516,-1,2,0.0
0.18838930130004883,-391,516,-3,2,0.0
0.2884190082550049,-391,519,-3,5,0.0
0.289898157119751,-393,519,-5,5,0.0
0.3907890319824219,-393,522,-5,8,0.0
0.3922910690307617,-395,522,-7,8,0.0
0.4933285713195801,-395,525,-7,11,0.0
0.49477410316467285,-398,525,-10,11,0.0
0.5944454669952393,-398,529,-10,15,4.797745218293515
0.5960977077484131,-401,529,-13,15,5.179252815533981
0.6952476501464844,-401,532,-13,18,5.38065017211943
0.696699857711792,-403,532,-15,18,5.380647648372967
0.797173023223877,-403,536,-15,22,5.567956058633403
0.7986264228820801,-406,536,-18,22,5.760246082668115
0.8982703685760498,-406,539,-18,25,5.774399546729646
0.899742603302002,-409,539,-21,25,5.967229962854831
1.0011568069458008,-409,543,-21,29,6.155152039046266
1.002673625946045,-411,543,-23,29,5.961966617762412
1.1012067794799805,-411,547,-23,33,5.975357481716162
1.1026544570922852,-414,547,-26,33,5.977770514206321
1.2032523155212402,-414,550,-26,36,5.960732659347096
1.2047948837280273,-417,550,-29,36,6.151920093585254
1.305546522140503,-417,554,-29,40,6.148550242412674
1.3069067001342773,-420,554,-32,40,6.149677923562374
1.406769037246704,-420,557,-32,43,6.147036742832656
1.4082293510437012,-422,557,-34,43,5.955081451873358
1.509505033493042,-422,561,-34,47,5.956704168256989
1.5108082294464111,-425,561,-37,47,6.151440934090504
1.6113488674163818,-425,564,-37,50,5.93575803997867
1.613011121749878,-428,564,-40,50,5.93326238236076
1.712873935699463,-428,567,-40,53,5.941820127138706
1.714367151260376,-430,567,-42,53,5.75070541846937
1.8149268627166748,-430,571,-42,57,5.752872198965035
1.8163747787475586,-433,571,-45,57,5.751881468170178
1.9160559177398682,-433,574,-45,60,5.7539279181163465
1.9172146320343018,-436,574,-48,60,5.9492486582454225
2.018606185913086,-436,578,-48,64,5.947894609167223
2.0201213359832764,-439,578,-51,64,5.945419352330806
2.120298385620117,-439,581,-51,67,5.949666699139781
2.1217098236083984,-441,581,-53,67,5.760580849319729
2.2202811241149902,-441,585,-53,71,5.967751480730375
2.22170090675354,-444,585,-56,71,6.161151246404927
2.3231446743011475,-444,588,-56,74,5.958232732062938
2.3246700763702393,-447,588,-59,74,5.957324441446661
2.4255218505859375,-447,592,-59,78,6.135366073523941
2.4272029399871826,-449,592,-61,78,5.937547886450315
2.5266849994659424,-449,596,-61,82,5.959862759923925
2.528174877166748,-452,596,-64,82,5.960159224451661
2.628913402557373,-452,599,-64,85,5.953579621447852
2.6303281784057617,-455,599,-67,85,6.14559024564759
2.729459285736084,-455,603,-67,89,6.1388335863588015
2.7308762073516846,-457,603,-69,89,5.947028452564013
2.8317501544952393,-457,606,-69,92,5.9536912556357775
2.8332481384277344,-460,606,-72,92,5.954012227247179
2.9334497451782227,-460,610,-72,96,5.961633594529489
2.9349212646484375,-463,610,-75,96,6.1564845075967645
3.0358943939208984,-463,613,-75,99,5.9466302722894095
3.0375137329101562,-466,613,-78,99,5.945118786549968
3.1370205879211426,-466,617,-78,103,6.151772873989516
3.1384289264678955,-468,617,-80,103,5.95960547499471
3.239576578140259,-468,621,-80,107,5.936046562406671
3.240938901901245,-471,621,-83,107,6.128187835341257
3.3397305011749268,-471,624,-83,110,6.1533089231323785
3.3412156105041504,-474,624,-86,110,6.153464880778384
3.4423346519470215,-474,628,-86,114,6.142371208938456
3.4437408447265625,-477,628,-89,114,6.143159820068375
3.5449843406677246,-477,631,-89,117,6.139897320648648
3.5464444160461426,-479,631,-91,117,5.949886890963689
3.6469526290893555,-479,635,-91,121,5.938203045768442
3.648413896560669,-482,635,-94,121,6.129121804180583
3.749113082885742,-482,638,-94,124,5.942812677400896
3.7506461143493652,-485,638,-97,124,5.940822350651374
3.8494367599487305,-485,642,-97,128,6.132473255320851
3.850893497467041,-487,642,-99,128,5.941164169479601
3.951430320739746,-487,645,-99,131,5.756089041081778
3.953019857406616,-490,645,-102,131,5.754016810115394
4.054527997970581,-490,649,-102,135,5.942729257054036
4.056026220321655,-493,649,-105,135,6.133970981251939
4.154759645462036,-493,652,-105,138,5.963052699881731
4.156173467636108,-496,652,-108,138,5.963609890378824
4.257296323776245,-496,656,-108,142,6.150852189699622
4.258793830871582,-498,656,-110,142,5.9590546243606095
4.358579874038696,-498,660,-110,146,5.947404405954388
4.360095024108887,-501,660,-113,146,6.13855190225804
4.460350275039673,-501,663,-113,149,6.141948205390794
4.461833715438843,-504,663,-116,149,6.14322890514123
4.561596155166626,-504,667,-116,153,6.164378408781653
4.562969207763672,-507,667,-119,153,6.165900461060269
4.663923501968384,-507,670,-119,156,6.139006058771636
4.665560007095337,-510,670,-122,156,6.136322336507651
4.764408588409424,-510,674,-122,160,6.1638422455844735
4.765997648239136,-512,674,-124,160,6.162729642341919
4.866861581802368,-512,677,-124,163,5.957483721621399
4.8682942390441895,-515,677,-127,163,5.958450763025078
4.968642473220825,-515,680,-127,166,5.957360767754319
4.970117807388306,-518,680,-130,166,5.957455777115041
5.069749355316162,-518,684,-130,170,5.958990318488431
5.071255683898926,-520,684,-132,170,5.765252741487907
5.173287868499756,-520,687,-132,173,5.753052613309406
5.17469048500061,-522,687,-134,173,5.563838982208885
5.273281812667847,-522,689,-134,175,5.182744688214644
5.274858713150024,-523,689,-135,175,4.990910437301283
5.375251054763794,-523,690,-135,176,4.611267787163399
5.376662969589233,-523,690,-135,176,4.0350239437440125
5.478259086608887,-523,690,-135,176,3.450123001898959
5.47981333732605,-523,690,-135,176,2.8746573472578114
5.5803539752960205,-523,689,-135,175,1.913026168933864
5.58175253868103,-522,689,-134,175,1.3394010043251872
5.682286024093628,-522,689,-134,175,0.7676255713424514
5.68372654914856,-522,689,-134,175,0.38378420265173874
5.782178163528442,-522,689,-134,175,0.0
5.783792972564697,-522,689,-134,175,-0.19193048648825908
5.8851401805877686,-522,689,-134,175,-0.3831421187582705
5.886525392532349,-522,689,-134,175,-0.38316218495238297
5.986248016357422,-522,689,-134,175,-0.3845753097350117
5.987879276275635,-522,689,-134,175,-0.3845170184088752
6.088125467300415,-522,689,-134,175,-0.19236999622490547
6.089597225189209,-522,689,-134,175,0.0
6.190297842025757,-522,689,-134,175,0.0
6.191763639450073,-522,689,-134,175,0.0
6.291616916656494,-522,689,-134,175,0.0
6.293139696121216,-522,689,-134,175,0.0
6.393503904342651,-522,689,-134,175,0.0
6.39489483833313,-522,689,-134,175,0.0
6.494515419006348,-522,689,-134,175,0.0
6.4961137771606445,-522,689,-134,175,0.0
6.59596061706543,-522,689,-134,175,0.0
6.5975847244262695,-522,689,-134,175,0.0
6.6977479457855225,-522,689,-134,175,0.0
6.699123382568359,-522,689,-134,175,0.0
6.7999913692474365,-522,689,-134,175,0.0
6.801542520523071,-522,689,-134,175,0.0
6.9015052318573,-522,689,-134,175,0.0
6.902889728546143,-522,689,-134,175,0.0
7.004045724868774,-522,689,-134,175,0.0
7.0056867599487305,-522,689,-134,175,0.0
